negative,i think i hate this new lollipop os update lollipopupdate androidlollipop
negative,i hate white theme androidlollipop
negative,i hate this lollipopupdate i dont like the white amp green
negative,leak live images of the huawei p liteandroidlollipop androidnews androidversions
negative,lollipop animations may be bogging my phone down anyone else experience this xperiaz androidlollipop
negative,the androidlollipop update is bad ass
negative,heywhat the serious hell did your lollipop update do to my poor htc one it used to work androidlollipop lame pleasehelp
negative,totes on the same page with androidlollipop smh mistake and a half
negative,htconem solutions htcm htconecommon problems with the…android howto androidlollipop apps battery
negative,after the update to androidlollipop my s is basically useless and also incredibly ugly notamused whatisthisshit
negative,i dont see the slow mo or fast motion modes in my camera settings that i heard come with the latest androidlollipop update
negative,dear who it concerns when you do a system update for phones we kinda want to read our texts keep that in mind
negative,android lur draining my juiceandroidlollipop
negative,ooopssthe lock screen widgets on androidare gone why android androidlollipop
negative,how the hell am i suppose to get through that androidlollipop game
negative,androidlollipop see you tomorrow sonyplease dont cheat us again
negative,really dont like androidlollipop update nothing works message app ribbon is ugly orange cant get settings to work notifications gone
negative,androidlollipop barely runs onof android devices
negative,how do i get rid of androidlollipophate it hate it hate it
negative,new blogwhat happens when your phone gets an ota update mine ruined my nexusblogging androidlollipop
negative,tech blogwhat happens when the ota update breaks your device it ruined my nexusblogging androidlollipop
negative,nexusandroidproblems and issues
negative,yes htc androidlollipop update doesnt have sinhala toowhy you discriminate us
negative,only complaint with the samsung s so far is that androidlollipop has removed silent mode please bring it back in the next update
negative,does anyone else find androidlollipop to be very laggy on the samsung galaxys
negative,after a much oscillated thoughts i updated my galaxys with androidlollipop and it really sucks its a downgrade not an upgrade
negative,thislollipop update is seriously the most frustrating thing ever androidlollipop
negative,actually it was working fine before androidlollipopupdate i think its a bug
negative,androidlollipop has completely ruined mygalaxynote battery life
negative,androidlollipop barely runs onof android devices
negative,ugh i seriously hate the android lollipop update because its not aesthetically pleasing androidlollipop
negative,trying to help mom w her android she hates the update anybody know how to rollback from lolipop update back to kitkat androidlollipop
negative,androidvs ios material design fightno extra features is coming up <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E30> androidlollipop appleupdate
negative,yep hate androidlollipop new update why is the home button a circle why the geometric shapes
negative,so my xperiaz is now running on androidlollipop and unfortunately my messages sms got deleted…
negative,when the hell is androidlollipopupdate coming for motoxedition
negative,stupid andriod software updatephone is really slow now androidlollipop colours of the software are cool though
negative,just updated my lgg to androidlollipop been awake for mins and lostin my battery
negative,all my apps after updated to androidlollipop seems so much slower
negative,few days in to using androidlollipop the speed is astonishing like the new notifications setup still bummed trusted devices is missing
negative,that really sucks because i mute my phone at night if i cant work the following day i always get calls at am from work androidlollipop
positive,best new features in androidlollipopmy phone 
positive,just got an update and im in love
positive,finally got android l update for my samsung galaxy ssamsung android androidlollipop 
positive,google has approved the cms from cyanogenmodota to be rolling out soon for the oneplusoneandroid oneplus androidlollipop
positive,finally got androidlollipop for my galaxy s performance seems much better like the material ui cant find trusted devices setup
positive,android lollipop our favorite new features
positive,best new features in androidlollipopandroidlollipop android android google smartphones androidone
positive,amazing iphone hack brings the androidlollipop experience to ios
positive,upgraded to androidlollipop my fave part is that we have a red heart again <U+2764> for the last yr weve had every color but red littlethings
positive,been using lollipop forhours now and i have no complaints amp a few compliments android androidlollipop lollipopupdate htconelife
positive,nokia n is official their first android tablet for justvia
positive,androidlollipop is awesome
positive,very interestingmoney makemoney life meaningoflife applewatch androidlollipop psshare ps
positive,worth the wait androidlollipop works perfectlystill your fanxperiaz
positive,just got android lollipop and have to say it is much more better than kitkat androidlollipop
positive,just flashed the new lollipop firmware onto my samsung galaxy notesmn wahooworks like a charm androidlollipop
positive,the androidlollipop camera is now ready for downloadandroidlollipop android androiddev
positive,amazing iphonehack brings the android lollipop experience to iosenable google now on android lollipop and get it working in any country root
positive,enjoying the nexus and androidlollipop snappy ui and lovely big screen
positive,i love my androidlollipop lt
positive,lgg finally updated to androidlollipop love the mobiledesign amp how it works
positive,kitkat is still the most popular android version withmarket shareandroid androidlollipop
positive,liking the new update androidlollipop lovemysamsungphone
positive,so glad that the new gs update got rid of all my home button problems no more google now with every button press androidlollipop
positive,waaah updating to androidlollipop is like having a new phone sometimesilikeupdates
positive,good news for all you lg g owners you get lollipop next week
positive,the androidlollipop camera is now ready for downloadandroidlollipop
positive,arhhhhhh just updated my phone and now my internet via mobile data or wifi has stopped androidlollipop help advice sonyxperiazcompact
positive,im absolutely loving my htc update androidlollipop
positive,best new features in androidlollipopandroidlollipop android android google smartphones androidone
positive,lollipop increased my gs battery life by a large margin android androidlollipop lgg
positive,lollipop increased my gs battery life by a large margin android androidlollipop lgg
positive,i been at work all day got androidlollipop which is amazing and my favorite communityis back with uodates good day
positive,i am just moments away from experiencing the much anticipated androidlollipop on mys its been a long time waiting
positive,yey im so happy androidlollipop
positive,i just love new design of whatsapp for androidlollipop whatsappupdate
positive,oh happy day androidlollipop is being downloaded now its like a special present just for me androidlollipop
